f_code,coc,nam,laa,pop,ypc,adm_code,salb,soc,NUMPOINTS
FA001,JPN,Yamagata Ken,Yamagata Shi,"251340","2014","06201",UNK,JPN,"4"
FA001,JPN,Yamaguchi Ken,Shimonoseki Shi,"-89999999","2014","35201",UNK,JPN,"2"
FA001,JPN,Miyazaki Ken,Miyazaki Shi,"405890","2014","45201",UNK,JPN,"0"
FA001,JPN,Yamanashi Ken,Kofu Shi,"194800","2014","19201",UNK,JPN,"4"
FA001,JPN,Ibaraki Ken,Mito Shi,"273053","2014","08201",UNK,JPN,"5"
FA001,JPN,Kyoto Fu,Kyoto Shi,"1420719","2014","26100",UNK,JPN,"8"
FA001,JPN,Okayama Ken,Okayama Shi,"704572","2014","33100",UNK,JPN,"3"
FA001,JPN,Toyama Ken,Toyama Shi,"420434","2014","16201",UNK,JPN,"1"
FA001,JPN,Saitama Ken,Saitama Shi,"1253582","2014","11100",UNK,JPN,"7"
FA001,JPN,Tottori Ken,Tottori Shi,"193908","2014","31201",UNK,JPN,"2"
FA001,JPN,Shiga Ken,Otsu Shi,"342603","2014","25201",UNK,JPN,"0"
FA001,JPN,Kagoshima Ken,Kagoshima Shi,"609250","2014","46201",UNK,JPN,"2"
FA001,JPN,Tochigi Ken,Utsunomiya Shi,"518878","2014","09201",UNK,JPN,"2"
FA001,JPN,Nagano Ken,Nagano Shi,"386065","2014","20201",UNK,JPN,"5"
FA001,JPN,Shimane Ken,Matsue Shi,"-89999999","2014","32201",UNK,JPN,"1"
FA001,JPN,Iwate Ken,Morioka Shi,"295680","2014","03201",UNK,JPN,"3"
FA001,JPN,Kumamoto Ken,Kumamoto Shi,"734287","2014","43201",UNK,JPN,"1"
FA001,JPN,Hokkai Do,Sapporo Shi,"1930496","2014","01100",UNK,JPN,"14"
FA001,JPN,Saga Ken,Saga Shi,"236274","2014","41201",UNK,JPN,"0"
FA001,JPN,Tokushima Ken,Tokushima Shi,"257718","2014","36201",UNK,JPN,"1"
FA001,JPN,Fukui Ken,Fukui Shi,"267978","2014","18201",UNK,JPN,"2"
FA001,JPN,Osaka Fu,Osaka Shi,"2667830","2014","27100",UNK,JPN,"9"
FA001,JPN,Kagawa Ken,Takamatsu Shi,"-89999999","2014","37201",UNK,JPN,"3"
FA001,JPN,Kochi Ken,Kochi Shi,"338909","2014","39201",UNK,JPN,"3"
FA001,JPN,Wakayama Ken,Wakayama Shi,"379064","2014","30201",UNK,JPN,"1"
FA001,JPN,Okinawa Ken,Naha Shi,"322486","2014","47201",UNK,JPN,"1"
FA001,JPN,Kanagawa Ken,Yokohama Shi,"3714200","2014","14100",UNK,JPN,"35"
FA001,JPN,Chiba Ken,Chiba Shi,"960051","2014","12100",UNK,JPN,"32"
FA001,JPN,Nara Ken,Nara Shi,"364969","2014","29201",UNK,JPN,"1"
FA001,JPN,Nagasaki Ken,Nagasaki Shi,"439318","2014","42201",UNK,JPN,"1"
FA001,JPN,Aomori Ken,Aomori Shi,"298416","2014","02201",UNK,JPN,"3"
FA001,JPN,Aichi Ken,Nagoya Shi,"2254891","2014","23100",UNK,JPN,"18"
FA001,JPN,Fukuoka Ken,Kitakyushu Shi,"-89999999","2014","40100",UNK,JPN,"12"
FA001,JPN,Tokyo To,Chiyoda Ku,"54160","2014","13101",UNK,JPN,"205"
FA001,JPN,Ishikawa Ken,Kanazawa Shi,"452144","2014","17201",UNK,JPN,"6"
FA001,JPN,Akita Ken,Akita Shi,"320720","2014","05201",UNK,JPN,"1"
FA001,JPN,Ehime Ken,Matsuyama Shi,"-89999999","2014","38201",UNK,JPN,"4"
FA001,JPN,Niigata Ken,Niigata Shi,"806525","2014","15100",UNK,JPN,"4"
FA001,JPN,Miyagi Ken,Sendai Shi,"1049578","2014","04100",UNK,JPN,"9"
FA001,JPN,Gifu Ken,Gifu Shi,"416625","2014","21201",UNK,JPN,"1"
FA001,JPN,Hyogo Ken,Kobe Shi,"1553789","2014","28100",UNK,JPN,"4"
FA001,JPN,Oita Ken,Oita Shi,"478794","2014","44201",UNK,JPN,"0"
FA001,JPN,Hiroshima Ken,Hiroshima Shi,"1186928","2014","34100",UNK,JPN,"4"
FA001,JPN,Shizuoka Ken,Shizuoka Shi,"718774","2014","22100",UNK,JPN,"1"
FA001,JPN,Gunma Ken,Maebashi Shi,"340934","2014","10201",UNK,JPN,"1"
FA001,JPN,Mie Ken,Tsu Shi,"285654","2014","24201",UNK,JPN,"2"
FA001,JPN,Fukushima Ken,Fukushima Shi,"285146","2014","07201",UNK,JPN,"4"
